date,class,lesson_number,time_slot,subject,classroom,homework,weekday,class_column
2025-09-23,5а,1,8.00-8.40,MATH,10,,вторник,D
2025-09-23,5а,2,8.50-9.30,RUSSIAN,23,,вторник,D
2025-09-23,5а,3,9.45-10.25,MATH,10,,вторник,D
2025-09-23,5а,4,10.45-11.25,RUSSIAN,23,,вторник,D
2025-09-23,5а,5,11.35-12.15,MATH,10,,вторник,D
2025-09-23,5а,7,13.10-13.50,RUSSIAN,23,,вторник,D
2025-09-23,5б,1,8.00-8.40,MATH,11,,вторник,E
2025-09-23,5б,2,8.50-9.30,RUSSIAN,24,,вторник,E
2025-09-23,5б,3,9.45-10.25,MATH,11,,вторник,E
2025-09-23,5б,4,10.45-11.25,RUSSIAN,24,,вторник,E
2025-09-23,5б,5,11.35-12.15,MATH,11,,вторник,E
2025-09-23,5б,7,13.10-13.50,RUSSIAN,24,,вторник,E
2025-09-23,5в,1,8.00-8.40,MATH,12,,вторник,F
2025-09-23,5в,2,8.50-9.30,RUSSIAN,25,,вторник,F
2025-09-23,5в,3,9.45-10.25,MATH,12,,вторник,F
2025-09-23,5в,4,10.45-11.25,RUSSIAN,25,,вторник,F
2025-09-23,5в,5,11.35-12.15,MATH,12,,вторник,F
2025-09-23,5в,7,13.10-13.50,RUSSIAN,25,,вторник,F
2025-09-23,5г,1,8.00-8.40,MATH,13,,вторник,G
2025-09-23,5г,2,8.50-9.30,RUSSIAN,26,,вторник,G
2025-09-23,5г,3,9.45-10.25,MATH,13,,вторник,G
2025-09-23,5г,4,10.45-11.25,RUSSIAN,26,,вторник,G
2025-09-23,5г,5,11.35-12.15,MATH,13,,вторник,G
2025-09-23,5г,7,13.10-13.50,RUSSIAN,26,,вторник,G
2025-09-23,6а,1,8.00-8.40,MATH,14,,вторник,H
2025-09-23,6а,2,8.50-9.30,RUSSIAN,27,,вторник,H
2025-09-23,6а,3,9.45-10.25,MATH,14,,вторник,H
2025-09-23,6а,4,10.45-11.25,RUSSIAN,27,,вторник,H
2025-09-23,6а,5,11.35-12.15,MATH,14,,вторник,H
2025-09-23,6а,7,13.10-13.50,RUSSIAN,27,,вторник,H
